,cycleId,latitude_decimal,longitude_decimal,CO
0,fff853e129c1851c,19.39887731944444,-99.02463462222222,-0.04
8,fff853e129c1851c,19.398876472222224,-99.0246330972222,-0.04
16,fff853e129c1851c,19.398876811111112,-99.02463292777776,-0.04
24,fff853e129c1851c,19.39887698055556,-99.0246314027778,-0.04
28,fff33ede087ab098,19.398876811111112,-99.02463123333334,-0.04
36,fff33ede087ab098,19.398875963888887,-99.02462716666668,-0.04
40,fff33ede087ab098,19.398876472222224,-99.02462631944444,-0.04
48,fffbe38ced26fca1,19.39887765833333,-99.02462665833332,-0.04
64,fffbe38ced26fca1,19.39888036944444,-99.02462852222224,-0.04
72,fffbe38ced26fca1,19.398881894444443,-99.02463225,-0.04
80,fffbe38ced26fca1,19.398882063888887,-99.02463258888888,-0.04
96,fff5e976f7358105,19.39888375833333,-99.02463665555554,-0.04
194,fff5e976f7358105,19.39888053888889,-99.02463411388888,-0.04
341,ffff7fd12eb9414a,19.39887833611111,-99.02464156944444,-0.04
393,ffff7fd12eb9414a,19.398878166666663,-99.02464190833334,-0.04
419,ffff7fd12eb9414a,19.398877997222225,-99.02464190833334,-0.04
471,ffff7fd12eb9414a,19.398877827777778,-99.02464156944444,-0.04
497,fff44a8c0a8be87e,19.398872913888887,-99.02464512777776,-0.04
505,fff44a8c0a8be87e,19.398872913888887,-99.02464580555556,-0.04
513,fff44a8c0a8be87e,19.39887325277778,-99.0246466527778,-0.04
517,fffbb69c70e4dd64,19.39887325277778,-99.0246466527778,-0.04
525,fffbb69c70e4dd64,19.398873422222223,-99.02464868611108,-0.04
537,fff2b66a3cc2557a,19.39887443888889,-99.024649025,-0.04
613,fff2b66a3cc2557a,19.39887613333333,-99.02464783888892,-0.04
651,fff2b66a3cc2557a,19.39887630277778,-99.02464766944443,-0.04
727,fff2b66a3cc2557a,19.39887748888889,-99.02464766944443,-0.04
765,fffa03df789b0665,19.39888036944444,-99.02464038333332,-0.04
889,fffa03df789b0665,19.398881725,-99.02464106111113,-0.04
951,fffa03df789b0665,19.398881894444443,-99.02464123055556,-0.04
1075,fff625bb25aee0ec,19.39887443888889,-99.0246391972222,-0.04
1083,fff625bb25aee0ec,19.398872405555554,-99.0246364861111,-0.04
1095,fff1f372604c8820,19.39887325277778,-99.02463851944444,-0.04
1167,fff1f372604c8820,19.398875963888887,-99.02463851944444,-0.04
1203,fff1f372604c8820,19.39887613333333,-99.02463835000002,-0.04
1275,fff1f372604c8820,19.39887715,-99.02463699444446,-0.04
1311,fffa4f3d2242a148,19.398876641666668,-99.02463767222224,-0.04
1319,fffa4f3d2242a148,19.398877827777778,-99.02464089166668,-0.04
1323,fffa4f3d2242a148,19.398877827777778,-99.02464106111113,-0.04
1331,fffa4f3d2242a148,19.398878166666663,-99.02464089166668,-0.04
1335,fff12b312379798d,19.39887833611111,-99.02464089166668,-0.04
1351,fff12b312379798d,19.398881555555555,-99.02463767222224,-0.04
1359,fff12b312379798d,19.398881725,-99.02463750277778,-0.04
1375,fff12b312379798d,19.39888223333333,-99.02463750277778,-0.04
1383,fff15df30cc87233,19.398882402777776,-99.0246417388889,-0.04
1437,fff15df30cc87233,19.39888036944444,-99.02464614444445,-0.04
1491,fff15df30cc87233,19.39887918333333,-99.02464699166669,-0.04
1518,fff721e827a7b435,19.39889561944444,-99.02464207777778,-0.04
1526,fff721e827a7b435,19.398890366666667,-99.02463970555556,-0.04
1534,fff721e827a7b435,19.398890705555555,-99.02464123055556,-0.04
1538,fff7cf15b779cfdc,19.398890875,-99.02464156944444,-0.04
1546,fff7cf15b779cfdc,19.398887825,-99.0246425861111,-0.04
1554,fff7cf15b779cfdc,19.39888884166667,-99.02464445,-0.04
1558,fffe8e1ac399d479,19.398888672222224,-99.02464428055556,-0.04
2540,fffe8e1ac399d479,19.39889545,-99.02465088888889,-0.04
3031,fffe8e1ac399d479,19.398898838888886,-99.0246527527778,-0.04
3522,fffe8e1ac399d479,19.398899347222223,-99.02465309166666,-0.04
4504,fffc8ff70d111ae9,19.398893416666667,-99.02465732777776,-0.04
4592,fff2c43bc5774ce2,19.398886469444445,-99.02465122777777,-0.04
4600,fff2c43bc5774ce2,19.398885961111112,-99.02464800833334,-0.04
4612,fff2c43bc5774ce2,19.39888613055556,-99.02464733055557,-0.04
