attribute,average
aqi,71.08333333333333
aqi_alto,83.58333333333333
pm_1,15.916666666666666
alto_pm_1,18.666666666666668
pm_25,21.666666666666668
alto_pm_25,27.58333333333333
pm_10,24.75
alto_pm_10,35.166666666666664
temp,16.916666666666668
temp_alta,16.916666666666668
temp_baja,16.833333333333332
hum,31.916666666666668
alta_hum,32.833333333333336
hum_baja,31.5
punto_de_roco,-0.0833333333333333
mxima_del_punto_de_roco,0.1666666666666666
mnima_del_punto_de_roco,-0.3333333333333333
bulbo_hmedo,5.75
mxima_temperatura_de_bulbo_hmedo,6.0
mnima_de_la_temperatura_de_bulbo_hmedo,5.5
ndice_de_calor,15.0
mxima_del_indice_de_calor,15.0
time,
aqi,66.91666666666667
aqi_alto,79.5
pm_1,14.416666666666666
alto_pm_1,17.916666666666668
pm_25,19.58333333333333
alto_pm_25,25.75
pm_10,21.75
alto_pm_10,31.5
temp,16.083333333333332
temp_alta,16.083333333333332
temp_baja,16.0
hum,31.666666666666668
alta_hum,32.333333333333336
hum_baja,31.0
punto_de_roco,-0.9166666666666666
mxima_del_punto_de_roco,-0.6666666666666666
mnima_del_punto_de_roco,-1.0833333333333333
bulbo_hmedo,5.0
mxima_temperatura_de_bulbo_hmedo,5.166666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,5.0
ndice_de_calor,14.083333333333334
mxima_del_indice_de_calor,14.166666666666666
time,
aqi,72.75
aqi_alto,87.41666666666667
pm_1,16.166666666666668
alto_pm_1,19.5
pm_25,22.416666666666668
alto_pm_25,29.33333333333333
pm_10,25.08333333333333
alto_pm_10,35.666666666666664
temp,15.166666666666666
temp_alta,15.333333333333334
temp_baja,15.166666666666666
hum,36.083333333333336
alta_hum,36.16666666666666
hum_baja,35.333333333333336
punto_de_roco,0.25
mxima_del_punto_de_roco,0.25
mnima_del_punto_de_roco,0.0833333333333333
bulbo_hmedo,5.5
mxima_temperatura_de_bulbo_hmedo,5.666666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,5.25
ndice_de_calor,13.583333333333334
mxima_del_indice_de_calor,13.666666666666666
time,
aqi,78.33333333333333
aqi_alto,90.75
pm_1,17.916666666666668
alto_pm_1,21.0
pm_25,25.0
alto_pm_25,30.916666666666668
pm_10,28.166666666666668
alto_pm_10,39.16666666666666
temp,12.916666666666666
temp_alta,13.0
temp_baja,12.833333333333334
hum,43.66666666666666
alta_hum,43.833333333333336
hum_baja,43.083333333333336
punto_de_roco,0.9166666666666666
mxima_del_punto_de_roco,1.0
mnima_del_punto_de_roco,0.6666666666666666
bulbo_hmedo,5.166666666666667
mxima_temperatura_de_bulbo_hmedo,5.5
mnima_de_la_temperatura_de_bulbo_hmedo,5.0
ndice_de_calor,11.583333333333334
mxima_del_indice_de_calor,11.666666666666666
time,
aqi,81.33333333333333
aqi_alto,92.83333333333331
pm_1,18.5
alto_pm_1,21.25
pm_25,26.5
alto_pm_25,31.916666666666668
pm_10,29.83333333333333
alto_pm_10,41.66666666666666
temp,11.583333333333334
temp_alta,11.583333333333334
temp_baja,11.5
hum,48.66666666666666
alta_hum,48.833333333333336
hum_baja,48.083333333333336
punto_de_roco,1.0
mxima_del_punto_de_roco,1.0
mnima_del_punto_de_roco,1.0
bulbo_hmedo,5.0
mxima_temperatura_de_bulbo_hmedo,5.166666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,5.0
ndice_de_calor,10.666666666666666
mxima_del_indice_de_calor,10.75
time,
aqi,83.33333333333333
aqi_alto,95.5
pm_1,19.08333333333333
alto_pm_1,21.916666666666668
pm_25,27.5
alto_pm_25,33.25
pm_10,31.25
alto_pm_10,43.25
temp,10.583333333333334
temp_alta,10.666666666666666
temp_baja,10.5
hum,52.41666666666666
alta_hum,52.75
hum_baja,51.833333333333336
punto_de_roco,1.0
mxima_del_punto_de_roco,1.0833333333333333
mnima_del_punto_de_roco,1.0
bulbo_hmedo,5.0
mxima_temperatura_de_bulbo_hmedo,5.0
mnima_de_la_temperatura_de_bulbo_hmedo,5.0
ndice_de_calor,10.0
mxima_del_indice_de_calor,10.0
time,
aqi,90.25
aqi_alto,105.75
pm_1,20.916666666666668
alto_pm_1,25.08333333333333
pm_25,30.83333333333333
alto_pm_25,38.083333333333336
pm_10,36.5
alto_pm_10,49.583333333333336
temp,10.0
temp_alta,10.0
temp_baja,10.0
hum,54.41666666666666
alta_hum,54.75
hum_baja,53.833333333333336
