fecha,ciudad_de_mexico
2018-09-30,341759
2018-10-31,411564
2018-11-30,396832
2018-12-31,467260
2019-01-31,402962
2019-02-28,395130
2019-03-31,438125
2019-04-30,379609
2019-05-31,411064
2019-06-30,452439
2019-07-31,465058
2019-08-31,420836
2019-09-30,340454
2019-10-31,417095
2019-11-30,397076
2019-12-31,469353
2020-01-31,406562
2020-02-29,407086
2020-03-31,209321
2020-04-30,8338
2020-05-31,9526
2020-06-30,23384
2020-07-31,43189
2020-08-31,59715
2020-09-30,69064
2020-10-31,103589
2020-11-30,110011
2020-12-31,184537
2021-01-31,124134
2021-02-28,89098
2021-03-31,132091
2021-04-30,143841
2021-05-31,199435
2021-06-30,245821
2021-07-31,293043
2021-08-31,255952
2021-09-30,235313
2021-10-31,292279
2021-11-30,296393
2021-12-31,375667
2022-01-31,271256
2022-02-28,265813
2022-03-31,340359
2022-04-30,343755
2022-05-31,356856
2022-06-30,395722
2022-07-31,408227
2022-08-31,351381
2022-09-30,317045
2022-10-31,391645
2022-11-30,363366
2022-12-31,398993
2023-01-31,371271
2023-02-28,358945
2023-03-31,386222
2023-04-30,326535
2023-05-31,328857
2023-06-30,353261
2023-07-31,381431
2023-08-31,329591
2023-09-30,297552
2023-10-31,367575
2023-11-30,358680
2023-12-31,420071
2024-01-31,356072
2024-02-29,367640
2024-03-31,381680
2024-04-30,327172
2024-05-31,332327
2024-06-30,353386
