anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
2018,Cuarto Trimestre,Diciembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 10-2,2010-06-25,2020-06-12,3640,529,2520951200.0,0.0,0.0,201367979.7,201367979.7,2520951200.0,0.0,7.9,0.35,7.9
2018,Cuarto Trimestre,Diciembre,224/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,457",2007-08-30,1937-07-27,10924,6783,3457974221.0,0.0,14809395.11,286096648.7,300906043.8,3389145884.0,-14809395.11,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,225/2007,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 7000,2007-08-31,1940-08-27,12050,7910,7000000000.0,0.0,108919450.9,580949162.9,689868613.7,6371209229.0,-108919450.9,8.91,0.54875,8.91
2018,Cuarto Trimestre,Diciembre,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",2007-08-31,1937-07-27,10923,6783,4700000000.0,0.0,20128593.44,401869662.7,421998256.2,4606450089.0,-20128593.44,8.8,0.53,8.8
2018,Cuarto Trimestre,Diciembre,513/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,914",2008-12-26,2019-10-25,3955,298,1914680897.0,0.0,320373500.5,24450927.96,344824428.5,127743305.0,-320373500.5,TIIE,0.97,TIIE+0.97
2018,Cuarto Trimestre,Diciembre,562/2010,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,499",2010-12-28,1940-10-25,10894,7969,1499069398.0,0.0,95833334.11,115783489.1,211616823.2,1199069398.0,-95833334.11,9.13,0.8800000000000001,9.13
2018,Cuarto Trimestre,Diciembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,2017-09-19,2028-03-07,3822,3354,2000000000.0,0.0,0.0,153688888.9,153688888.9,2000000000.0,0.0,7.6,0.88,7.6
2018,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",2012-11-12,1932-11-25,7318,5078,2138648319.0,0.0,0.0,172817635.9,172817635.9,2138648319.0,0.0,7.09,0.88,7.97
2018,Cuarto Trimestre,Diciembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,2013-11-28,2023-11-16,3640,1781,2126874900.0,0.0,0.0,151610732.5,151610732.5,2126874900.0,0.0,7.05,0.8928571428571429,7.05
2018,Cuarto Trimestre,Diciembre,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",2013-12-31,2023-12-26,3647,1821,3500000000.0,0.0,437500000.1,142669512.1,580169512.2,2187500000.0,-437500000.1,5.74,0.89875,5.74
