expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1000-FUCLMA-XOO-24,BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),NO APLICA,11/05/2024,XOCHIMILCO,Programa SCALL,19.25246,-99.0309
1000-LOMEMA-VEA-24,MOCTEZUMA 1A SECCION,MOCTEZUMA 1A SECCION,NO APLICA,06/05/2024,VENUSTIANO CARRANZA,Programa SCALL,19.430981,-99.108749
1000-ROGUJU-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,08/05/2024,IZTACALCO,Programa SCALL,19.393205,-99.072433
1000-ROHEOS-TLN-24,LOMAS DE PADIERNA,LOMAS DE PADIERNA,NO APLICA,21/06/2024,TLALPAN,Programa SCALL,19.29042,-99.228
1001-BEMAMA-VEA-24,MAGDALENA MIXHUCA,MAGDALENA MIXHUCA,NO APLICA,15/06/2024,VENUSTIANO CARRANZA,Programa SCALL,19.411143,-99.112295
1001-LOMOLA-TLC-24,MIGUEL HIDALGO,MIGUEL HIDALGO,NO APLICA,13/04/2024,TLAHUAC,Programa SCALL,19.292826,-99.051362
1001-ROMAMA-IZA-24,EL VERGEL,EL VERGEL,NO APLICA,20/04/2024,IZTAPALAPA,Programa SCALL,19.316039,-99.079349
1002-AVALMA-IZA-24,SANTA MARTHA ACATITLA NTE (AMPL) I,SANTA MARTHA ACATITLA NTE (AMPL) I,NO APLICA,15/04/2024,IZTAPALAPA,Programa SCALL,19.373932,-99.011555
1002-BRROAU-XOO-24,BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),NO APLICA,04/05/2024,XOCHIMILCO,Programa SCALL,19.25484,-99.0326
1002-GABADE-TLC-24,BARRIO SANTIAGO CENTRO,BARRIO SANTIAGO CENTRO,NO APLICA,23/04/2024,TLAHUAC,Programa SCALL,19.296786,-99.034568
1002-RAGASA-TLN-24,LOMAS DE PADIERNA,LOMAS DE PADIERNA,NO APLICA,06/04/2024,TLALPAN,Programa SCALL,19.28917,-99.2287
1003-CADILE-TLC-24,AMPLIACION JOSE LOPEZ PORTILLO,AMPLIACION JOSE LOPEZ PORTILLO,NO APLICA,16/04/2024,TLAHUAC,Programa SCALL,19.302549,-99.018898
1003-PAGUAD-IZA-24,JOSE LOPEZ PORTILLO,JOSE LOPEZ PORTILLO,NO APLICA,20/04/2024,IZTAPALAPA,Programa SCALL,19.305964,-99.083633
1003-VEZABE-XOO-24,DEL CARMEN,DEL CARMEN,NO APLICA,08/05/2024,XOCHIMILCO,Programa SCALL,19.25409,-99.0304
1004-HEHELA-TLC-24,LA NOPALERA,LA NOPALERA,NO APLICA,21/03/2024,TLAHUAC,Programa SCALL,19.300169,-99.052613
1004-HIMOCL-VEA-24,PUEBLA,PUEBLA,NO APLICA,28/05/2024,VENUSTIANO CARRANZA,Programa SCALL,19.411977,-99.084715
1004-LUHEMA-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,26/04/2024,IZTACALCO,Programa SCALL,19.395031,-99.072117
1004-MAROMA-IZA-24,CERRO DE LA ESTRELLA,CERRO DE LA ESTRELLA,NO APLICA,06/04/2024,IZTAPALAPA,Programa SCALL,19.327815,-99.078283
1004-MEGUCL-XOO-24,SAN LUIS TLAXIALTEMALCO (PBO),SAN LUIS TLAXIALTEMALCO (PBO),NO APLICA,06/05/2024,XOCHIMILCO,Programa SCALL,19.25627,-99.0332
1005-JUPODI-XOO-24,SAN JUAN MINAS,SAN JUAN MINAS,NO APLICA,29/06/2024,XOCHIMILCO,Programa SCALL,19.25363,-99.0301
1005-LOORJO-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,29/04/2024,IZTACALCO,Programa SCALL,19.386508,-99.069363
1005-MEPEMA-IZA-24,SANTA MARTHA ACATITLA NTE (AMPL) I,SANTA MARTHA ACATITLA NTE (AMPL) I,NO APLICA,18/04/2024,IZTAPALAPA,Programa SCALL,19.374379,-99.009875
1005-RUPAAD-VEA-24,MAGDALENA MIXHUCA,MAGDALENA MIXHUCA,NO APLICA,25/03/2024,VENUSTIANO CARRANZA,Programa SCALL,19.406729,-99.116805
1006-HEMAMA-TLN-24,H?ÎROES DE PADIERNA,H?ÎROES DE PADIERNA,NO APLICA,24/07/2024,TLALPAN,Programa SCALL,19.29792,-99.2267
1006-JIBADI-XOO-24,BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),BARRIO SAN JUAN (SAN LUIS TLAXIALTEMALCO),NO APLICA,04/05/2024,XOCHIMILCO,Programa SCALL,19.25484,-99.0326
1006-MEROAN-IZA-24,SANTA BARBARA (BARR),SANTA BARBARA (BARR),NO APLICA,10/04/2024,IZTAPALAPA,Programa SCALL,19.366886,-99.101356
